product_id,product_name,category,unit_cost
1,Over-the-Door Shoe Organizer,Home,62.01
2,Veggie Lovers Pizza,Food - Frozen Foods,32.97
3,Multi-Port USB Hub,Electronics,32.24
4,Karaoke Microphone,Music,98.5
5,Multi-Functional Rice Cooker,Kitchen,69.99
6,Lemon Pepper Seasoning,Food - Seasonings,99.89
7,Laptop Sleeve,Accessories,37.64
8,Kettle BBQ Grill,Outdoor,43.88
9,Wireless Security System,Home Security,26.36
10,Nutritional Yeast,Food - Pantry,8.01
11,Fitness Tracker with Heart Rate Monitor,Fitness,18.23
12,LED Flashlight with Rechargeable Batteries,Outdoor,1.31
13,Slim Wallet,Accessories,97.25
14,Beef Tacos,Food - Meat,84.48
15,Silicone Baking Mat,Kitchen,49.79
16,Personal Security Alarm Keychain,Safety,71.92
17,Compact Digital Camera,Photography,62.38
18,Adjustable Standing Desk,Office,43.34
19,Frozen Vegetarian Pizza,Food - Frozen Meals,76.6
20,Lemon Dill Chicken Skewers,Food - Meat,65.58
